ID,French1,British1,Portuguese1,Spanish1,Russian1,Austrian1,Prussian1,Commander1,LineInfantry1,LightInfantry1,GrenadierInfantry1,YoungGuard1,OldGuardInfantry1,MilitiaInfantry1,FootArtillery1,GuardFootArtillery1,HorseArtillery1,GuardHorseArtillery1,LightCavalry1,LightLancerCavalry1,GuardLightCavalry1,HeavyCavalry1,HeavyCuirassierCavalry1,GuardHeavyCavalry1,RifleLightInfantry1,GuardGrenadierInfantry1,RocketBattery1,GuardLightInfantry1,MilitiaLancerCavalry1,CossackCavalry1,GrenzerInfantry1,ReserveInfantry1,FieldWorks1,Castles1,VictoryPointsOnSide1,VictoryPointsToWin1,French2,British2,Portuguese2,Spanish2,Russian2,Austrian2,Prussian2,Commander2,LineInfantry2,LightInfantry2,GrenadierInfantry2,YoungGuard2,OldGuardInfantry2,MilitiaInfantry2,FootArtillery2,GuardFootArtillery2,HorseArtillery2,GuardHorseArtillery2,LightCavalry2,LightLancerCavalry2,GuardLightCavalry2,HeavyCavalry2,HeavyCuirassierCavalry2,GuardHeavyCavalry2,RifleLightInfantry2,GuardGrenadierInfantry2,RocketBattery2,GuardLightInfantry2,MilitiaLancerCavalry2,CossackCavalry2,GrenzerInfantry2,ReserveInfantry2,FieldWorks2,Castles2,VictoryPointsOnSide2,VictoryPointsToWin2,CommandCards1,CommandCards2,TacticianCards1,TacticianCards2,MoveFirst1,MoveFirst2,1Won
582,0,0,0,0,0,1,0,3,5,0,2,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,4,6,3,0,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,3,4,0,1,0.45
683,0,0,0,0,1,0,0,4,6,4,0,0,0,0,2,0,2,0,3,0,0,2,1,0,0,1,0,1,0,3,0,0,0,0,1,11,1,0,0,0,0,0,0,4,8,4,0,0,0,0,2,0,1,0,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,11,5,6,3,5,1,0,0.29
1066,0,0,0,0,1,0,0,2,3,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,0,0,0,0,0,0,4,7,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,3,3,0,1,0.26
1367,0,0,0,0,1,0,0,4,5,3,3,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,0,0,0,0,0,4,5,1,0,0,1,0,2,0,1,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,9,5,6,4,6,1,0,0.23
1444,0,0,0,0,1,0,0,4,5,3,1,0,0,0,3,0,0,0,2,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,8,1,0,0,0,0,0,0,5,7,3,1,0,1,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,5,6,4,6,0,1,0.27
1445,0,0,0,0,0,0,1,3,6,2,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,4,8,3,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,4,5,0,1,0.19
1446,0,0,0,0,0,0,1,4,7,2,2,0,0,0,2,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,5,7,3,0,1,0,0,1,1,1,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,6,0,1,0.38
1577,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,2,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,2,4,0,1,0.29
2232,0,1,0,0,0,0,0,3,6,1,0,0,0,0,3,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,3,10,3,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,5,2,0,1,0.46
2491,0,0,0,1,0,0,0,3,6,2,2,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,3,10,2,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,3,3,0,1,0.47
